State,Partner code, Sales this year ,Last year Sales,GM this year,Protein Sales this year,Protein GM this year,Number of months when ordered,Partner_profil_ORACLE,Sales_Person,Key Accounts,City_village,Region,Active_partner,Population,Size of the shop (m2),Stand_alone_shops,Company_p_in_shops,Sales_channel_p_Shop,Sales_channel_p_Webshop,Sales_channel_p_Distributor,Sales_channel_p_Gym,Sales_channel_p_Other, Amazon_web ,Relationship quality
Arizona,1," 3,173,819    ",3051902.064,1221626.8,1683445.17,677377.7034,12,Webshop,F,1.00,1,1,1,,0,0,20%,0%,100%,0%,0%,0%, 1    ,5
Arizona,2," 414,814    ",0,188600.205,145888.1475,61472.8047,11,Shop,F,1.00,2,2,1,5600,,0,25%,0%,100%,0%,0%,0%, -      ,6
Arizona,3," 350,323    ",379746.5469,164514.1359,200060.1888,100425.933,12,Shop,F,1.00,3,3,1,,100,0,15%,40%,20%,40%,0%,0%,,6
Arizona,4," 293,672    ",333486.9726,129181.9185,150246.6033,60327.0966,11,Shop,F,0.00,4,4,1,,30,0,25%,100%,0%,0%,0%,0%,,6
Arizona,5," 198,504    ",281434.6518,81448.14,110653.3584,43427.2779,12,Shop,F,0.00,5,2,1,19387,40,0,35%,40%,20%,40%,0%,0%,,6
Arizona,6," 86,657    ",153265.3923,34722.162,50959.1829,20040.7098,6,Shop,F,0.00,6,5,1,34105,60,0,40%,0%,70%,30%,0%,0%,,3
Arizona,7," 79,626    ",174776.2227,35051.0886,42958.488,19455.3405,9,Shop,F,0.00,4,2,1,,45,1,20%,100%,0%,0%,0%,0%,,4
Arizona,8," 77,813    ",118718.9973,34977.9405,32401.1397,14324.5677,7,Shop,F,0.00,1,1,1,114363,50,0,40%,70%,0%,30%,0%,0%,,6
Arizona,9," 67,105    ",269173.4706,29695.1643,31330.068,13431.5631,7,Shop,F,0.00,7,6,1,10759,40,0,10%,40%,30%,30%,0%,0%,,1
Arizona,10," 58,475    ",69819.4248,26294.5095,26335.9728,11630.4741,11,Shop,F,0.00,8,2,1,618823,30,0,30%,40%,60%,0%,0%,0%,,6
Arizona,11," 35,778    ",32439.528,16329.3447,19999.1973,9151.6305,11,Shop,F,0.00,9,2,1,31767,60,0,50%,60%,0%,40%,0%,0%,,6
Arizona,12," 32,863    ",20805.7944,17314.2057,15864.5277,8553.7029,11,Shop,F,0.00,8,2,0,197913,20,,,,,,,,,
Arizona,13," 28,004    ",61611.4257,11545.9362,16850.7663,7436.9613,12,Shop,F,0.00,10,7,1,49854,40,0,30%,60%,10%,30%,0%,0%,,6
Arizona,14," 23,461    ",15022.9248,10284.4359,15153.3909,7344.2808,10,Gym,F,0.00,11,3,1,,10,0,35%,0%,0%,0%,100%,0%,,5
Arizona,15," 22,588    ",19601.7105,11461.4598,6709.527,3218.2458,8,Shop,F,0.00,12,2,1,,35,1,50%,100%,0%,0%,0%,0%,,5
Arizona,16," 20,846    ",34436.0394,9073.4148,9686.3484,4388.9721,12,Shop,F,0.00,13,2,1,67235,40,0,20%,70%,30%,0%,0%,0%,,6
Arizona,17," 20,287    ",44570.2431,9509.1792,12124.479,5385.3705,2,Webshop,F,0.00,14,1,1,43842,0,0,20%,0%,100%,0%,0%,0%,,3
Arizona,18," 20,024    ",76980.165,9570.8883,12640.1811,6459.6279,5,Shop,F,0.00,15,3,0,26602,32,,,,,,,,,
Arizona,19," 19,343    ",29480.9721,9875.6208,7303.8015,3677.2695,6,Shop,F,0.00,16,3,1,,23,0,10%,60%,20%,0%,20%,0%,,4
Arizona,20," 19,074    ",52328.0376,9635.7954,9489.1917,4388.7876,6,Shop,F,0.00,17,2,0,2259,30,,,,,,,,,
Arizona,21," 16,407    ",7620.3297,8287.1496,11298.3741,5615.6757,2,Gym,F,0.00,12,2,1,,,0,70%,0%,0%,0%,100%,0%,,4
Arizona,22," 15,695    ",18727.0452,7498.3137,9122.2335,4516.8552,6,Gym,F,0.00,18,3,0,13723,,,,,,,,,,
Arizona,23," 11,227    ",31146.5766,5493.8934,6694.0659,3494.2824,4,Shop,F,0.00,19,5,0,,,,,,,,,,,
Arizona,24," 10,198    ",3585.1302,4065.9495,3629.9514,1529.1114,6,Shop,F,0.00,20,8,1,,20,0,15%,80%,20%,0%,0%,0%,,4
Arizona,25," 9,483    ",5730.5331,4617.789,3839.4573,1934.7162,7,Shop,F,0.00,21,7,1,24632,500000,0,70%,0%,0%,0%,100%,0%,,6
Arizona,26," 9,298    ",9849.5079,4616.6574,7132.278,3796.8009,9,Gym,F,0.00,16,3,1,,15,0,80%,0%,0%,0%,100%,0%,,6
Arizona,27," 9,240    ",13463.3955,4601.1348,3802.9017,2150.0154,6,Gym,F,0.00,22,9,1,614304,20,0,60%,0%,0%,0%,100%,0%,,5
Arizona,28," 9,221    ",15089.2956,4370.3745,5294.8917,2554.9068,7,Shop,F,0.00,23,10,1,54939,15,0,30%,0%,100%,0%,0%,0%,,3
Arizona,29," 8,860    ",8812.1505,2302.0065,4864.1211,1487.4882,12,Gym,F,0.00,24,3,1,362893,12,0,80%,100%,0%,0%,0%,0%,,6
Arizona,30," 8,548    ",0,4355.3439,3976.9098,1989.4758,3,Shop,F,0.00,25,11,0,,,,,,,,,,,
Arizona,31," 7,652    ",0,3683.8746,3746.7522,1699.0974,1,Distributor,F,0.00,8,9,1,,,0,5%,80%,0%,20%,0%,0%,,6
Arizona,32," 7,604    ",12052.1058,3539.2266,4559.6223,2363.7279,10,Gym,F,0.00,26,12,1,,20,0,20%,0%,0%,0%,100%,0%,,4
Arizona,33," 7,293    ",11577.8055,3647.3928,4761.8097,2409.939,2,Shop,F,0.00,27,2,0,26149,20,,,,,,,,,
Arizona,34," 7,206    ",0,3549.8538,5117.0706,2422.0791,2,Shop,F,0.00,28,3,0,,,,,,,,,,,
Arizona,35," 7,064    ",0,3698.3025,3536.2869,1957.8894,4,Shop,F,0.00,16,3,0,,,,,,,,,,,
Arizona,36," 6,312    ",8637.1215,2676.7629,1999.4388,1055.0202,10,Shop,F,0.00,4,2,1,23893,15,0,50%,0%,0%,0%,100%,0%,,4
Arizona,37," 6,292    ",0,3207.8646,1754.2137,860.4096,2,Gym,F,0.00,8,9,1,,,0,20%,0%,0%,0%,100%,0%,,6
Arizona,38," 6,271    ",11459.4918,3289.6104,3235.4535,1802.2698,10,Shop,F,0.00,19,13,1,,25,0,10%,70%,30%,0%,0%,0%,,5
